id;arrived;departed;charge;work_carried_out
1;2021-02-12T22:05:59;2021-02-12T22:24:00;50172;Colorado
2;2021-02-13T00:21:17;2021-02-13T10:16:52;49137;1080p
3;2021-02-13T10:09:09;2021-02-13T14:58:30;60230;Home Salad Fort
4;2021-02-13T03:09:57;2021-02-13T03:53:07;9319;payment Bedfordshire transmit
5;2021-02-13T02:44:41;2021-02-13T14:25:20;14073;encoding input
6;2021-02-12T16:29:27;2021-02-13T05:09:11;64195;grey cyan deposit
7;2021-02-12T18:03:53;2021-02-12T20:13:19;65150;payment Solutions conglomeration
8;2021-02-12T22:59:11;2021-02-13T08:32:48;46035;Refined Switzerland
9;2021-02-13T08:07:43;2021-02-13T04:45:43;51913;Rustic Avon Minnesota
10;2021-02-12T16:15:59;2021-02-12T16:25:55;89035;invoice generate Investment Account
