id;value;building;postcode
1;turquoise Pizza Oregon;bluetooth Representative;Future Music
2;Branch Virginia capacitor;Table Vanuatu;Fiji Future
3;North Korean Won Gorgeous;bluetooth;violet
4;matrix;Wooden Small Cotton Chair Rubber;Philippines
5;core microchip data-warehouse;Multi-lateral lime;deposit
6;Incredible Fresh Bacon;quantify Jewelery;AI monitoring
7;deposit;knowledge base Gorgeous Credit Card Account;Savings Account
8;Electronics Garden;Metrics;maroon Hat
9;copy deposit;copy HDD Supervisor;firewall Consultant
10;Executive program;COM transmitting action-items;Bedfordshire bypassing
