id;name;address;postcode;telephone;fax
1;reciprocal payment;Kuwait;Belize Dollar compressing Handcrafted;579.482.3739 x2338;Coordinator Money Market Account invoice
2;Grocery;capacitor Handcrafted Rubber Car;iterate;874-068-8244 x75083;parsing Ergonomic quantify
3;uniform index;Home Loan Account Corporate;Wooden;906-686-1123 x574;Ergonomic online
4;Handmade;Handcrafted Plastic Salad Idaho;Branding parsing;(230) 834-5327;Chair Via
5;Interactions Bike;payment;Borders;888.293.6513 x21026;Solutions
6;dynamic;analyzing;Pants;1-353-512-7935 x64911;JBOD wireless
7;COM Executive bluetooth;Supervisor Nauru Rubber;deposit Soap Ergonomic Steel Fish;(499) 443-8360 x7883;viral technologies invoice
8;invoice Bedfordshire;Director;reinvent generating;1-451-819-9173 x643;Soap
9;Savings Account Shoes SAS;Chips synthesize Saint Helena Pound;embrace navigate;1-276-653-0078;Handmade Rubber Fish
10;Ohio Granite;reintermediate Massachusetts;Cocos (Keeling) Islands Investor Investment Account;156.227.1004 x42871;Won Borders Berkshire
