id;name;colour
1;Multi-channelled Avon;Cotton navigating Pre-emptive
2;Optimized Oman Books;calculate grey Incredible Soft Soap
3;zero administration bypass;open-source yellow ivory
4;Computers infomediaries Internal;networks
5;Computer Operations Generic;Egyptian Pound Intelligent Optimization
6;navigating;exploit empowering Savings Account
7;tan;Beauty JSON incubate
8;bypassing Andorra networks;Electronics Tasty Cotton Salad
9;USB solid state;1080p Secured application
10;copying;Buckinghamshire web services Fresh
