id;address;telephone;fax
1;Isle;(136) 856-9565;Money Market Account backing up
2;interface bypass;221-997-7226 x7906;Metal Analyst content
3;backing up Integrated mobile;1-009-123-1710;JBOD Martinique system engine
4;Fantastic Rubber Chips invoice Road;(847) 088-5616;architecture deposit
5;Russian Ruble standardization;561.051.5945;monetize
6;next-generation encompassing;341.232.8069;generating strategize
7;plum application;(708) 318-3458;invoice Investment Account Bedfordshire
8;mint green;1-407-523-2512;Fantastic Refined Cotton Sausages
9;Azerbaijanian Manat Grass-roots International;1-552-746-4386 x6594;internet solution
10;Cambridgeshire Customizable;373.378.4781;synthesize Tanzanian Shilling
